hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
37,145.03,17.9855,3055.6,13.2287,3.2872,Złotno
38,57.82,17.8539,3055.6,13.3077,3.3346,
39,12.25,17.6,3065.3,12.2,2.92,
40,121.7,14.0672,3038.4068,28.9444,2.6181,Lublinek-Pienista
41,184.35,16.5371,3022.953,14.5015,3.2018,Lublinek-Pienista
42,131.14,18.3759,3012.3475,14.156,3.3095,Nad Nerem
43,65.79,16.761,2991.5,11.2567,3.6361,Nad Nerem
44,62.69,16.7053,2991.5,9.8348,3.6305,Nad Nerem
45,0.89,16.7,2991.5,9.7,3.63,
46,61.87,17.0,3056.4,8.9,3.61,Bałuty Zachodnie
