hex_id,population,income_index_pln,fam_pct_matki_samotne,n_obwody
1242,1547.0,3040.6040077569487,19.778668390433097,4
1243,498.0,3070.4,21.5,1
1244,364.0,3070.4,9.3,1
1248,477.0,2990.3,15.9,1
1256,442.0,3056.6,15.2,1
1265,370.0,3083.6,14.7,1
1266,591.0,3082.559729272419,16.164636209813875,2
1267,688.0,3074.0645348837206,16.888372093023257,2
1268,2050.0,3059.4113170731707,15.422634146341464,7
1269,627.0,3070.4000000000005,7.057097288676236,2
1273,417.0,2990.3,17.7,1
1279,436.0,3069.3,17.6,1
1283,559.0,3056.6,15.2,1
1284,409.0,3056.6,13.5,1
1286,305.0,3031.7,14.0,1
1288,442.0,3031.7,11.8,1
1289,245.0,3031.7,21.9,1
1295,276.0,3070.4,14.3,1
1318,167.0,3070.4,14.299999999999999,1
1334,536.0,3069.3,10.4,1
1337,266.0,3056.6,17.5,1
1350,416.0,3010.4000000000005,15.3,1
1359,442.0,3069.3,15.5,1
1373,126.0,3021.3,34.2,1
1375,271.0,3070.4,30.5,1
1381,502.0,2990.3,13.5,1
1388,431.0,3069.3,14.3,1
1389,232.0,3069.3,13.9,1
1391,322.0,3056.6,14.6,1
1396,448.0,3031.7,13.1,1
1399,300.0,3021.3,21.5,1
1401,468.0,3021.2999999999997,23.377777777777776,2
1402,458.0,3021.3,13.8,1
